Price,High,Low,Open,Volume
1861.0,1867.0999755859375,1857.300048828125,1857.699951171875,0
1861.0999755859375,1866.199951171875,1861.0999755859375,1861.5999755859375,498252
1864.0,1864.0,1860.4000244140625,1861.0999755859375,215993
1864.699951171875,1866.5,1862.5999755859375,1864.300048828125,343853
1864.300048828125,1865.5,1863.800048828125,1864.5999755859375,119928
1870.0,1871.699951171875,1863.5,1863.5,372330
1869.9000244140625,1874.0,1869.0999755859375,1870.0999755859375,272637
1868.300048828125,1871.0,1867.4000244140625,1870.0999755859375,127765
1870.5,1870.800048828125,1868.4000244140625,1868.699951171875,52431
1870.300048828125,1871.199951171875,1870.0,1870.4000244140625,108052
1872.300048828125,1873.800048828125,1870.300048828125,1870.9000244140625,262204
1872.300048828125,1873.0,1871.4000244140625,1872.300048828125,87231
1873.4000244140625,1873.5,1871.0999755859375,1871.0999755859375,68128
1875.0,1876.5,1872.199951171875,1872.5,182696
1871.5,1875.199951171875,1870.5,1875.199951171875,77810
1871.199951171875,1872.4000244140625,1870.0,1871.699951171875,54336
1873.0999755859375,1873.800048828125,1871.9000244140625,1871.9000244140625,62583
1872.5999755859375,1873.300048828125,1871.0,1872.9000244140625,74069
1869.199951171875,1872.800048828125,1869.199951171875,1872.5999755859375,80619
1870.300048828125,1871.0,1869.699951171875,1869.800048828125,106993
1868.800048828125,1869.5,1868.4000244140625,1869.199951171875,92149
1869.0,1869.4000244140625,1866.5999755859375,1869.0999755859375,68993
1870.0,1870.800048828125,1868.4000244140625,1869.5999755859375,102232
1869.5,1869.9000244140625,1869.0,1869.300048828125,42595
1870.5999755859375,1871.199951171875,1869.5,1869.699951171875,56190
1870.199951171875,1871.5,1870.0,1871.0999755859375,51042
1872.0,1872.699951171875,1870.199951171875,1870.300048828125,75144
1870.300048828125,1872.5,1870.300048828125,1871.5999755859375,61290
1869.9000244140625,1870.5999755859375,1869.800048828125,1870.300048828125,44844
1869.5,1870.199951171875,1869.199951171875,1869.800048828125,90280
1870.199951171875,1872.0,1869.199951171875,1869.5999755859375,52366
1870.0,1870.5,1869.699951171875,1870.199951171875,46523
1871.199951171875,1871.800048828125,1870.199951171875,1870.300048828125,66881
1869.5999755859375,1871.4000244140625,1869.5999755859375,1871.199951171875,31148
1869.800048828125,1870.4000244140625,1869.4000244140625,1869.5999755859375,32097
1869.199951171875,1869.9000244140625,1869.0,1869.699951171875,21102
1868.4000244140625,1869.699951171875,1868.0,1869.699951171875,26308
1867.699951171875,1868.800048828125,1867.5,1868.4000244140625,22317
1867.5999755859375,1868.0999755859375,1867.5999755859375,1868.0999755859375,21030
1869.0,1869.0,1867.0999755859375,1867.800048828125,37666
1868.800048828125,1869.0999755859375,1868.0,1868.699951171875,37374
1869.5999755859375,1870.0,1868.300048828125,1869.0,22777
1870.0,1870.699951171875,1868.9000244140625,1869.5999755859375,85567
1869.800048828125,1870.699951171875,1869.199951171875,1869.9000244140625,30442
1868.5,1870.5,1868.4000244140625,1870.0,22259
1869.9000244140625,1870.0,1868.800048828125,1869.0,31440
1869.9000244140625,1870.5,1869.0999755859375,1869.9000244140625,38351
1870.699951171875,1871.300048828125,1869.9000244140625,1869.9000244140625,45655
1870.5,1871.0,1870.0,1871.0,29733
1870.800048828125,1871.800048828125,1870.5,1870.5999755859375,32908
1871.5999755859375,1872.0,1870.300048828125,1870.9000244140625,39693
1872.5,1872.5,1871.199951171875,1871.5999755859375,52659
1872.4000244140625,1873.4000244140625,1872.4000244140625,1872.800048828125,48117
1872.5,1873.699951171875,1871.9000244140625,1872.9000244140625,34832
1871.199951171875,1872.5999755859375,1871.0999755859375,1872.300048828125,24082
1870.5,1871.9000244140625,1870.300048828125,1871.0,23260
1870.0999755859375,1871.0999755859375,1869.699951171875,1870.5,57404
1871.699951171875,1871.699951171875,1870.199951171875,1870.5999755859375,27759
1872.199951171875,1873.0,1871.300048828125,1871.5999755859375,40453
1871.9000244140625,1872.4000244140625,1871.0999755859375,1872.0999755859375,47234
1871.5,1872.199951171875,1871.5,1872.0,17401
1872.199951171875,1872.800048828125,1871.699951171875,1871.9000244140625,21953
1871.5,1872.5,1871.0999755859375,1872.5,32616
1869.9000244140625,1871.5,1869.9000244140625,1871.5,29476
1869.4000244140625,1870.300048828125,1869.0,1869.9000244140625,16382
